Gene Name	Accession	Link	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	IgG for AR/BRD4/CREB/EP300 (MR42D)	IgG for LSD1 (LASCPC)	IgG for MycN (LASCPC)	AR	BRD4	CREB	LSD1 (LASCPC)	Nmyc	EP300
MAGEA10	P43363	MAGAA_HUMAN		11.4	369	40781	Melanoma-associated antigen 10 OS=Homo sapiens GN=MAGEA10 PE=2 SV=2	6	6	1	0	0	0	2	2	1	0	0	1
HSPA2	P54652	HSP72_HUMAN		8.8	639	70022	Heat shock-related 70 kDa protein 2 OS=Homo sapiens GN=HSPA2 PE=1 SV=1	11	1	0.091	0	0	1	5	2	0	1	2	0
EIF5A	P63241	IF5A1_HUMAN		15.6	154	16833	Eukaryotic translation initiation factor 5A-1 OS=Homo sapiens GN=EIF5A PE=1 SV=2	20	20	1	0	1	1	2	2	1	5	5	3
C1QBP	Q07021	C1QBP_HUMAN		40.4	282	31363	"Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Homo sapiens GN=C1QBP PE=1 SV=1"	21	21	1	0	0	0	3	2	1	7	1	7
ILF3	Q12906	ILF3_HUMAN		8.5	894	95339	Interleukin enhancer-binding factor 3 OS=Homo sapiens GN=ILF3 PE=1 SV=3	14	14	1	0	0	2	2	2	0	1	4	3
PABPC4	Q13310	PABP4_HUMAN		10.4	644	70784	Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1	28	4	0.143	0	0	4	3	2	5	2	1	11
DDX1	Q92499	DDX1_HUMAN		10.8	740	82433	ATP-dependent RNA helicase DDX1 OS=Homo sapiens GN=DDX1 PE=1 SV=2	10	10	1	0	0	0	2	2	1	1	0	4
H1FX	Q92522	H1X_HUMAN		10.3	213	22488	Histone H1x OS=Homo sapiens GN=H1FX PE=1 SV=1	9	9	1	0	0	2	2	2	0	0	1	2
HSPH1	Q92598	HS105_HUMAN		16.6	858	96866	Heat shock protein 105 kDa OS=Homo sapiens GN=HSPH1 PE=1 SV=1	14	13	0.929	0	0	0	9	2	1	0	0	2
ANAPC1	Q9H1A4	APC1_HUMAN		1.6	1944	216501	Anaphase-promoting complex subunit 1 OS=Homo sapiens GN=ANAPC1 PE=1 SV=1	6	6	1	0	0	0	2	2	0	0	2	0
SLC25A10	Q9UBX3	DIC_HUMAN		13.9	287	31283	Mitochondrial dicarboxylate carrier OS=Homo sapiens GN=SLC25A10 PE=1 SV=2	13	13	1	0	0	1	4	2	1	1	2	2
SMCHD1	A6NHR9	SMHD1_HUMAN		1.2	2005	226375	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens GN=SMCHD1 PE=1 SV=2	8	8	1	0	0	1	0	2	0	1	2	2
WASHC1	A8K0Z3	WASH1_HUMAN		7.5	465	50329	WAS protein family homolog 1 OS=Homo sapiens GN=WASH1 PE=1 SV=2	2	2	1	0	0	0	0	2	0	0	0	0
NEMF	O60524	NEMF_HUMAN		3.3	1076	122955	Nuclear export mediator factor NEMF OS=Homo sapiens GN=NEMF PE=1 SV=4	6	6	1	0	0	2	0	2	0	0	0	2
FRYL	O94915	FRYL_HUMAN		1.1	3013	339599	Protein furry homolog-like OS=Homo sapiens GN=FRYL PE=1 SV=2	2	2	1	0	0	0	0	2	0	0	0	0
STAU1	O95793	STAU1_HUMAN		10.7	577	63183	Double-stranded RNA-binding protein Staufen homolog 1 OS=Homo sapiens GN=STAU1 PE=1 SV=2	13	13	1	0	0	1	0	2	1	0	1	8
TFRC	P02786	TFR1_HUMAN		3.8	760	84872	Transferrin receptor protein 1 OS=Homo sapiens GN=TFRC PE=1 SV=2	2	2	1	0	0	0	0	2	0	0	0	0
EIF2S1	P05198	IF2A_HUMAN		8.9	315	36113	Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens GN=EIF2S1 PE=1 SV=3	5	5	1	0	0	0	0	2	0	0	1	2
PARP1	P09874	PARP1_HUMAN		4.2	1014	113085	Poly [ADP-ribose] polymerase 1 OS=Homo sapiens GN=PARP1 PE=1 SV=4	9	9	1	0	0	1	0	2	0	2	1	3
HIST1H1E	P10412	H14_HUMAN		14.6	219	21866	Histone H1.4 OS=Homo sapiens GN=HIST1H1E PE=1 SV=2	9	3	0.333	0	0	1	1	2	0	2	0	3
TOP1	P11387	TOP1_HUMAN		8.8	765	90727	DNA topoisomerase 1 OS=Homo sapiens GN=TOP1 PE=1 SV=2	10	10	1	0	0	1	0	2	0	1	0	6
APEH	P13798	ACPH_HUMAN		8.3	732	81226	Acylamino-acid-releasing enzyme OS=Homo sapiens GN=APEH PE=1 SV=4	10	10	1	0	0	3	0	2	2	0	1	2
TCP1	P17987	TCPA_HUMAN		14.7	556	60345	T-complex protein 1 subunit alpha OS=Homo sapiens GN=TCP1 PE=1 SV=1	15	15	1	0	0	0	0	2	1	1	9	2
RPL35A	P18077	RL35A_HUMAN		20.9	110	12539	60S ribosomal protein L35a OS=Homo sapiens GN=RPL35A PE=1 SV=2	5	5	1	0	0	0	1	2	0	0	0	2
EIF2S2	P20042	IF2B_HUMAN		6.6	333	38389	Eukaryotic translation initiation factor 2 subunit 2 OS=Homo sapiens GN=EIF2S2 PE=1 SV=2	5	5	1	0	0	1	0	2	0	0	0	2
GART	P22102	PUR2_HUMAN		20	1010	107768	Trifunctional purine biosynthetic protein adenosine-3 OS=Homo sapiens GN=GART PE=1 SV=1	19	19	1	0	0	1	0	2	1	1	13	1
COPB2	P35606	COPB2_HUMAN		14.2	906	102488	Coatomer subunit beta' OS=Homo sapiens GN=COPB2 PE=1 SV=2	24	24	1	0	0	0	1	2	0	8	12	1
RPL35	P42766	RL35_HUMAN		18.7	123	14552	60S ribosomal protein L35 OS=Homo sapiens GN=RPL35 PE=1 SV=2	3	3	1	0	0	0	0	2	0	0	0	1
HIST1H1D	P16402	H13_HUMAN	redundant	14.5	221	22351	Histone H1.3 OS=Homo sapiens GN=HIST1H1D PE=1 SV=2	9	3	0.333	0	0	1	1	2	0	2	0	3
HIST1H1C	P16403	H12_HUMAN	redundant	15	213	21366	Histone H1.2 OS=Homo sapiens GN=HIST1H1C PE=1 SV=2	9	3	0.333	0	0	1	1	2	0	2	0	3
IQGAP1	P46940	IQGA1_HUMAN		3.4	1657	189253	Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=1 SV=1	6	6	1	0	0	0	0	2	0	0	1	3
RPL34	P49207	RL34_HUMAN		12.8	117	13294	60S ribosomal protein L34 OS=Homo sapiens GN=RPL34 PE=1 SV=3	4	4	1	0	0	0	0	2	0	0	0	2
COPB1	P53618	COPB_HUMAN		16.5	953	107143	Coatomer subunit beta OS=Homo sapiens GN=COPB1 PE=1 SV=3	31	31	1	0	0	0	1	2	0	12	14	2
CLTCL1	P53675	CLH2_HUMAN		1.7	1640	187031	Clathrin heavy chain 2 OS=Homo sapiens GN=CLTCL1 PE=1 SV=2	4	2	0.5	0	0	0	0	2	0	0	0	2
NAP1L1	P55209	NP1L1_HUMAN		11.8	391	45375	Nucleosome assembly protein 1-like 1 OS=Homo sapiens GN=NAP1L1 PE=1 SV=1	15	15	1	0	0	2	1	2	1	1	6	2
RPS14	P62263	RS14_HUMAN		29.1	151	16274	40S ribosomal protein S14 OS=Homo sapiens GN=RPS14 PE=1 SV=3	9	9	1	0	0	1	1	2	0	1	1	3
RPS18	P62269	RS18_HUMAN		17.1	152	17720	40S ribosomal protein S18 OS=Homo sapiens GN=RPS18 PE=1 SV=3	10	10	1	0	0	1	1	2	0	1	2	3
RPS6	P62753	RS6_HUMAN		10.8	249	28682	40S ribosomal protein S6 OS=Homo sapiens GN=RPS6 PE=1 SV=1	10	10	1	0	0	1	1	2	0	1	2	3
RPS15	P62841	RS15_HUMAN		31.7	145	17041	40S ribosomal protein S15 OS=Homo sapiens GN=RPS15 PE=1 SV=2	15	15	1	0	0	3	1	2	3	0	1	5
YWHAZ	P63104	1433Z_HUMAN		11.8	245	27746	14-3-3 protein zeta/delta OS=Homo sapiens GN=YWHAZ PE=1 SV=1	16	13	0.812	0	0	1	1	2	2	1	5	4
RPL38	P63173	RL38_HUMAN		35.7	70	8219	60S ribosomal protein L38 OS=Homo sapiens GN=RPL38 PE=1 SV=2	6	6	1	0	0	1	0	2	0	0	0	3
RPL24	P83731	RL24_HUMAN		13.4	157	17780	60S ribosomal protein L24 OS=Homo sapiens GN=RPL24 PE=1 SV=1	5	5	1	0	0	0	0	2	0	0	1	2
HDLBP	Q00341	VIGLN_HUMAN		3.9	1268	141457	Vigilin OS=Homo sapiens GN=HDLBP PE=1 SV=2	14	14	1	0	0	2	1	2	2	3	2	2
CLTC	Q00610	CLH1_HUMAN		6.6	1675	191616	Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC PE=1 SV=5	15	13	0.867	0	0	0	1	2	1	6	3	2
EXOSC10	Q01780	EXOSX_HUMAN		7	885	100832	Exosome component 10 OS=Homo sapiens GN=EXOSC10 PE=1 SV=2	6	6	1	0	0	0	0	2	0	0	1	3
OGDH	Q02218	ODO1_HUMAN		8	1023	115936	"2-oxoglutarate dehydrogenase, mitochondrial OS=Homo sapiens GN=OGDH PE=1 SV=3"	7	7	1	0	1	0	1	2	1	1	0	1
DST	Q03001	DYST_HUMAN		0.8	7570	860663	Dystonin OS=Homo sapiens GN=DST PE=1 SV=4	7	7	1	0	0	3	0	2	0	0	0	2
FMR1	Q06787	FMR1_HUMAN		6.3	632	71175	Synaptic functional regulator FMR1 OS=Homo sapiens GN=FMR1 PE=1 SV=1	15	15	1	0	0	0	0	2	3	3	2	5
EXOSC2	Q13868	EXOS2_HUMAN		7.8	293	32790	Exosome complex component RRP4 OS=Homo sapiens GN=EXOSC2 PE=1 SV=2	8	8	1	0	0	0	1	2	0	1	1	3
FAM98B	Q52LJ0	FA98B_HUMAN		10	330	37192	Protein FAM98B OS=Homo sapiens GN=FAM98B PE=1 SV=1	6	6	1	0	0	1	0	2	1	0	0	2
HS1BP3	Q53T59	H1BP3_HUMAN		14.8	392	42781	HCLS1-binding protein 3 OS=Homo sapiens GN=HS1BP3 PE=1 SV=1	2	2	1	0	0	0	0	2	0	0	0	0
ATAD3B	Q5T9A4	ATD3B_HUMAN		5.4	648	72574	ATPase family AAA domain-containing protein 3B OS=Homo sapiens GN=ATAD3B PE=1 SV=1	2	2	1	0	0	0	0	2	0	0	0	0
DHX29	Q7Z478	DHX29_HUMAN		3.7	1369	155237	ATP-dependent RNA helicase DHX29 OS=Homo sapiens GN=DHX29 PE=1 SV=2	4	4	1	0	0	0	0	2	0	0	0	2
RBM12B	Q8IXT5	RB12B_HUMAN		2.3	1001	118104	RNA-binding protein 12B OS=Homo sapiens GN=RBM12B PE=1 SV=2	2	2	1	0	0	0	0	2	0	0	0	0
DDX17	Q92841	DDX17_HUMAN		13	729	80273	Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens GN=DDX17 PE=1 SV=2	14	9	0.643	0	0	1	0	2	0	1	5	5
MED12	Q93074	MED12_HUMAN		1.8	2177	243082	Mediator of RNA polymerase II transcription subunit 12 OS=Homo sapiens GN=MED12 PE=1 SV=4	3	3	1	0	0	0	0	2	1	0	0	0
AP2M1	Q96CW1	AP2M1_HUMAN		8.5	435	49656	AP-2 complex subunit mu OS=Homo sapiens GN=AP2M1 PE=1 SV=2	5	5	1	0	0	0	0	2	1	0	0	2
SRPK1	Q96SB4	SRPK1_HUMAN		4.4	655	74326	SRSF protein kinase 1 OS=Homo sapiens GN=SRPK1 PE=1 SV=2	6	6	1	0	0	0	0	2	0	0	0	4
TRIM45	Q9H8W5	TRI45_HUMAN		5.7	580	64360	Tripartite motif-containing protein 45 OS=Homo sapiens GN=TRIM45 PE=1 SV=2	2	2	1	0	0	0	0	2	0	0	0	0
LARS	Q9P2J5	SYLC_HUMAN		5.8	1176	134467	"Leucine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=LARS PE=1 SV=2"	14	14	1	0	0	1	1	2	0	2	5	3
ANAPC4	Q9UJX5	APC4_HUMAN		4.2	808	92117	Anaphase-promoting complex subunit 4 OS=Homo sapiens GN=ANAPC4 PE=1 SV=2	2	2	1	0	0	0	0	2	0	0	0	0
FARSA	Q9Y285	SYFA_HUMAN		5.3	508	57565	Phenylalanine--tRNA ligase alpha subunit OS=Homo sapiens GN=FARSA PE=1 SV=3	5	5	1	0	0	0	1	2	0	0	0	2
DRG1	Q9Y295	DRG1_HUMAN		6.5	367	40543	Developmentally-regulated GTP-binding protein 1 OS=Homo sapiens GN=DRG1 PE=1 SV=1	3	3	1	0	0	0	0	2	0	0	0	1
MED16	Q9Y2X0	MED16_HUMAN		3.1	877	96794	Mediator of RNA polymerase II transcription subunit 16 OS=Homo sapiens GN=MED16 PE=1 SV=2	2	2	1	0	0	0	0	2	0	0	0	0
STRAP	Q9Y3F4	STRAP_HUMAN		19.7	350	38439	Serine-threonine kinase receptor-associated protein OS=Homo sapiens GN=STRAP PE=1 SV=1	10	10	1	0	0	0	1	2	0	1	2	4
EIF3C	Q99613	EIF3C_HUMAN	redundant	6.2	913	105345	Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens GN=EIF3C PE=1 SV=1	6	6	1	0	0	0	1	1	0	0	4	0
